Prenda;Temporada;ColorPrenda;Id
Camisa;Primavera;B;167
Blusa;Primavera;A;6
Chaqueta;Primavera;B;127
Pantalón;Primavera;B;155
Blusa;Invierno;C;89
Chaqueta;Primavera;A;12
Blusa;Invierno;C;75
Chaqueta;Primavera;B;141
Blusa;Primavera;B;191
Chaqueta;Invierno;B;194
Chaqueta;Verano;B;84
Blusa;Otoño;B;74
Camisa;Otoño;C;28
Camisa;Otoño;C;151
Chaqueta;Verano;B;114
Falda;Invierno;A;102
Chaqueta;Invierno;A;3
Chaqueta;Verano;C;98
Falda;Invierno;C;55
Chaqueta;Invierno;B;175
Blusa;Verano;B;30
Falda;Verano;C;17
Falda;Otoño;A;95
Chaqueta;Primavera;B;164
Pantalón;Invierno;B;146
Blusa;Verano;B;74
Blusa;Verano;C;3
Chaqueta;Otoño;C;164
Chaqueta;Verano;A;196
Falda;Primavera;A;91
Camisa;Invierno;C;20
Falda;Otoño;C;42
Falda;Invierno;A;190
Falda;Invierno;A;194
Camisa;Primavera;B;194
Blusa;Invierno;B;148
Chaqueta;Verano;C;38
Camisa;Otoño;B;183
Chaqueta;Primavera;C;122
Chaqueta;Verano;A;13
Blusa;Otoño;C;160
Falda;Primavera;B;176
Pantalón;Primavera;A;43
Blusa;Primavera;A;8
Chaqueta;Invierno;B;175
Chaqueta;Otoño;A;120
Blusa;Verano;A;17
Pantalón;Otoño;A;66
Pantalón;Otoño;B;145
Pantalón;Otoño;B;142
Camisa;Invierno;A;144
Blusa;Verano;A;86
Pantalón;Invierno;C;156
Pantalón;Primavera;A;175
Falda;Primavera;A;17
Chaqueta;Verano;C;95
Camisa;Invierno;A;17
Chaqueta;Verano;C;18
Chaqueta;Otoño;A;183
Chaqueta;Otoño;A;46
Camisa;Invierno;C;44
Chaqueta;Verano;A;166
Falda;Otoño;B;171
Falda;Verano;C;79
Camisa;Otoño;C;122
Pantalón;Primavera;B;168
Camisa;Invierno;A;88
Falda;Verano;A;156
Pantalón;Primavera;A;170
Blusa;Otoño;C;104
Chaqueta;Verano;C;38
Camisa;Primavera;C;66
Chaqueta;Otoño;C;13
Camisa;Otoño;A;145
Falda;Primavera;B;163
Falda;Invierno;B;170
Falda;Otoño;C;27
Pantalón;Primavera;C;71
Chaqueta;Primavera;C;151
Falda;Verano;C;137
Pantalón;Invierno;C;116
Blusa;Primavera;C;105
Camisa;Verano;B;88
Falda;Invierno;A;166
Chaqueta;Primavera;C;82
Falda;Otoño;A;108
Chaqueta;Otoño;A;122
Blusa;Verano;B;147
Falda;Otoño;C;87
Pantalón;Primavera;B;28
Chaqueta;Verano;A;154
Blusa;Verano;A;169
Camisa;Primavera;A;75
Chaqueta;Verano;B;61
Chaqueta;Primavera;C;179
Camisa;Verano;C;114
Pantalón;Invierno;A;106
Pantalón;Invierno;C;136
Chaqueta;Otoño;C;12
Blusa;Verano;A;70
Blusa;Verano;B;77
Falda;Invierno;A;156
Falda;Verano;C;162
Falda;Verano;A;63
Falda;Otoño;C;119
Falda;Otoño;C;36
Falda;Verano;C;178
Chaqueta;Verano;C;56
Pantalón;Verano;B;98
Chaqueta;Otoño;A;19
Chaqueta;Verano;A;140
Pantalón;Invierno;B;26
Blusa;Verano;C;187
Chaqueta;Verano;A;176
Chaqueta;Verano;A;200
Falda;Primavera;A;14
Chaqueta;Verano;B;154
Pantalón;Otoño;B;141
Blusa;Otoño;C;158
Blusa;Invierno;A;74
Camisa;Otoño;B;44
Blusa;Invierno;B;148
Falda;Otoño;C;54
Blusa;Primavera;C;111
Falda;Primavera;C;115
Falda;Otoño;A;154
Camisa;Primavera;B;15
Chaqueta;Verano;B;158
Falda;Otoño;A;119
Camisa;Invierno;B;180
Camisa;Invierno;B;101
Pantalón;Verano;A;38
Chaqueta;Verano;B;66
Camisa;Otoño;C;46
Blusa;Otoño;B;97
Falda;Otoño;A;200
Pantalón;Invierno;C;186
Pantalón;Verano;C;90
Blusa;Primavera;C;97
Falda;Otoño;C;104
Camisa;Verano;A;76
Camisa;Primavera;C;153
Chaqueta;Invierno;A;45
Blusa;Primavera;B;77
Chaqueta;Verano;B;15
Falda;Primavera;A;93
Blusa;Primavera;C;184
Camisa;Otoño;C;199
Camisa;Invierno;B;192
Pantalón;Otoño;A;194
Pantalón;Primavera;A;54
Falda;Verano;C;103
Blusa;Verano;C;164
Pantalón;Otoño;A;149
Falda;Invierno;C;174
Falda;Invierno;C;27
Camisa;Primavera;B;138
Blusa;Otoño;A;13
Falda;Verano;C;38
Camisa;Invierno;A;14
Pantalón;Primavera;B;119
Camisa;Primavera;C;38
Chaqueta;Invierno;C;65
Camisa;Verano;B;55
Falda;Primavera;B;42
Pantalón;Primavera;A;168
Pantalón;Otoño;B;146
Chaqueta;Invierno;C;97
Chaqueta;Invierno;C;24
Blusa;Verano;A;145
Falda;Primavera;C;141
Camisa;Invierno;A;14
Camisa;Otoño;C;156
Blusa;Primavera;C;172
Falda;Otoño;B;39
Chaqueta;Primavera;B;152
Camisa;Primavera;C;31
Blusa;Verano;C;5
Camisa;Otoño;C;193
Falda;Verano;C;45
Blusa;Verano;C;21
Pantalón;Primavera;A;130
Camisa;Invierno;C;166
Chaqueta;Primavera;A;22
Chaqueta;Primavera;C;154
Falda;Primavera;B;71
Camisa;Invierno;C;151
Pantalón;Invierno;B;188
Chaqueta;Verano;C;46
Falda;Verano;C;188
Pantalón;Primavera;B;113
Chaqueta;Primavera;A;146
Blusa;Invierno;A;6
Blusa;Primavera;A;94
Camisa;Otoño;A;46
Pantalón;Verano;B;168
Falda;Invierno;A;104
Falda;Invierno;C;81
Blusa;Invierno;B;36
Chaqueta;Primavera;C;159
Chaqueta;Primavera;A;23
Chaqueta;Otoño;B;125
Falda;Primavera;B;133
Pantalón;Verano;C;162
Falda;Otoño;A;132
Camisa;Otoño;A;152
Camisa;Invierno;B;162
Blusa;Invierno;C;164
Chaqueta;Verano;B;179
Pantalón;Otoño;A;149
Blusa;Verano;A;30
Blusa;Primavera;B;18
Camisa;Invierno;C;33
Chaqueta;Primavera;C;182
Camisa;Verano;A;185
Pantalón;Otoño;A;84
Blusa;Otoño;C;109
Camisa;Invierno;B;169
Blusa;Otoño;A;89
Blusa;Primavera;A;151
Blusa;Verano;C;125
Pantalón;Otoño;A;142
Chaqueta;Otoño;A;151
Blusa;Primavera;B;11
Falda;Invierno;C;180
Falda;Invierno;A;3
Pantalón;Invierno;C;57
Pantalón;Verano;B;140
Pantalón;Verano;B;138
Chaqueta;Otoño;B;163
Blusa;Primavera;C;30
Camisa;Invierno;B;52
Camisa;Primavera;A;124
Blusa;Verano;B;131
Pantalón;Invierno;B;17
Camisa;Otoño;C;38
Falda;Verano;B;11
Chaqueta;Invierno;B;153
Blusa;Invierno;B;43
Camisa;Primavera;A;58
Blusa;Verano;B;2
Falda;Invierno;A;142
Camisa;Invierno;B;170
Pantalón;Verano;C;156
Blusa;Otoño;C;123
Falda;Verano;B;175
Chaqueta;Verano;A;121
Pantalón;Primavera;C;15
Chaqueta;Primavera;B;80
Falda;Otoño;C;84
Pantalón;Invierno;A;180
Blusa;Otoño;B;32
Camisa;Otoño;C;31
Pantalón;Verano;A;31
Camisa;Otoño;B;186
Chaqueta;Otoño;C;162
Pantalón;Verano;A;195
Chaqueta;Otoño;B;161
Camisa;Verano;B;66
Falda;Otoño;B;27
Chaqueta;Primavera;B;88
Blusa;Otoño;C;55
Pantalón;Verano;B;148
Falda;Invierno;C;98
Falda;Verano;C;199
Blusa;Otoño;B;87
Pantalón;Invierno;A;142
Camisa;Otoño;C;59
Pantalón;Primavera;A;135
Camisa;Primavera;B;88
Blusa;Invierno;C;69
Pantalón;Otoño;B;179
Chaqueta;Primavera;A;8
Chaqueta;Verano;C;8
Blusa;Primavera;A;103
Falda;Primavera;A;81
Blusa;Primavera;B;18
Chaqueta;Primavera;B;3
Camisa;Verano;B;120
Camisa;Primavera;B;78
Blusa;Verano;C;188
Chaqueta;Invierno;B;142
Blusa;Primavera;A;153
Camisa;Invierno;A;79
Blusa;Verano;C;184
Pantalón;Verano;A;135
Blusa;Primavera;A;76
Pantalón;Primavera;A;107
Camisa;Invierno;A;180
Falda;Verano;C;151
Chaqueta;Invierno;B;115
Camisa;Invierno;A;8
Falda;Primavera;A;72
Falda;Verano;A;7
Falda;Verano;B;114
Chaqueta;Primavera;C;82
Camisa;Otoño;C;197
Chaqueta;Primavera;A;29
Chaqueta;Primavera;A;50
Camisa;Otoño;C;152
Camisa;Primavera;A;198
Pantalón;Invierno;A;83
Chaqueta;Primavera;B;184
Camisa;Primavera;A;109
Pantalón;Primavera;B;91
Camisa;Primavera;A;10
Camisa;Invierno;C;48
Pantalón;Invierno;A;138
Chaqueta;Otoño;B;113
Pantalón;Otoño;B;18
Falda;Verano;A;149
Chaqueta;Verano;A;97
Camisa;Otoño;A;135
Camisa;Primavera;C;172
Camisa;Primavera;A;17
Pantalón;Primavera;A;139
Camisa;Invierno;A;55
Chaqueta;Otoño;B;99
Chaqueta;Otoño;A;71
Camisa;Otoño;B;116
Chaqueta;Primavera;A;96
Camisa;Otoño;C;79
Chaqueta;Otoño;C;197
Blusa;Verano;C;55
Falda;Otoño;C;132
Camisa;Invierno;C;86
Pantalón;Otoño;C;84
Pantalón;Otoño;A;67
Blusa;Otoño;B;1
Chaqueta;Otoño;C;64
Falda;Invierno;B;172
Camisa;Otoño;C;98
Chaqueta;Invierno;A;43
Chaqueta;Invierno;B;163
Falda;Invierno;A;77
Chaqueta;Verano;A;40
Chaqueta;Verano;B;2
Camisa;Invierno;B;105
Camisa;Otoño;B;12
Blusa;Primavera;B;134
Chaqueta;Verano;C;34
Blusa;Invierno;C;162
Camisa;Otoño;C;174
Blusa;Verano;C;178
Blusa;Verano;A;86
Pantalón;Invierno;B;150
Falda;Otoño;B;6
Falda;Otoño;B;56
Falda;Otoño;C;46
Blusa;Primavera;C;174
Chaqueta;Otoño;A;84
Pantalón;Otoño;A;99
Camisa;Otoño;B;19
Camisa;Primavera;B;145
Camisa;Primavera;C;184
Blusa;Otoño;B;79
Pantalón;Verano;B;173
Chaqueta;Verano;B;84
Chaqueta;Verano;C;112
Camisa;Primavera;B;135
Blusa;Invierno;A;157
Pantalón;Verano;B;10
Pantalón;Primavera;B;103
Falda;Invierno;B;193
Pantalón;Otoño;A;154
Pantalón;Primavera;C;88
Falda;Primavera;B;114
Blusa;Invierno;C;152
Blusa;Primavera;B;123
Blusa;Otoño;A;165
Pantalón;Otoño;C;120
Pantalón;Invierno;A;160
Camisa;Invierno;B;40
Camisa;Invierno;B;66
Camisa;Otoño;B;4
Camisa;Invierno;B;23
Pantalón;Otoño;A;40
Falda;Invierno;B;87
Falda;Verano;C;96
Blusa;Verano;B;78
Camisa;Otoño;B;123
Blusa;Otoño;C;138
Blusa;Primavera;B;176
Pantalón;Verano;A;31
Camisa;Otoño;B;101
Chaqueta;Invierno;B;27
Blusa;Primavera;C;75
Pantalón;Primavera;C;145
Falda;Primavera;A;26
Pantalón;Primavera;B;99
Chaqueta;Verano;C;65
Pantalón;Otoño;A;9
Blusa;Otoño;B;146
Camisa;Invierno;B;23
Falda;Otoño;A;104
Camisa;Otoño;B;78
Pantalón;Invierno;B;190
Falda;Invierno;C;188
Pantalón;Invierno;C;88
Falda;Primavera;C;180
Chaqueta;Invierno;C;83
Chaqueta;Primavera;C;105
Blusa;Invierno;C;134
Camisa;Primavera;C;25
Chaqueta;Verano;A;51
Camisa;Verano;C;115
Chaqueta;Otoño;B;178
Pantalón;Primavera;C;43
Blusa;Verano;C;1
Chaqueta;Verano;C;190
Pantalón;Invierno;B;72
Pantalón;Verano;A;4
Falda;Otoño;C;186
Camisa;Otoño;C;68
Pantalón;Verano;C;7
Blusa;Primavera;B;85
Pantalón;Otoño;A;104
Falda;Otoño;B;88
Blusa;Primavera;A;1
Camisa;Verano;B;71
Blusa;Otoño;B;59
Blusa;Invierno;A;165
Falda;Verano;C;59
Blusa;Otoño;B;2
Blusa;Invierno;B;84
Pantalón;Otoño;C;119
Falda;Verano;B;135
Blusa;Invierno;B;128
Camisa;Verano;B;186
Falda;Primavera;A;9
Falda;Verano;A;154
Chaqueta;Primavera;C;156
Camisa;Primavera;B;9
Pantalón;Primavera;A;171
Camisa;Primavera;A;20
Blusa;Otoño;B;101
Pantalón;Verano;B;17
Pantalón;Verano;B;49
Camisa;Verano;A;176
Blusa;Invierno;C;8
Falda;Otoño;C;50
Falda;Verano;B;142
Falda;Otoño;A;72
Pantalón;Invierno;B;136
Camisa;Otoño;B;80
Chaqueta;Invierno;B;74
Chaqueta;Verano;A;152
Pantalón;Verano;B;174
Pantalón;Primavera;C;184
Chaqueta;Primavera;A;168
Chaqueta;Invierno;C;89
Blusa;Verano;A;4
Camisa;Verano;C;175
Falda;Verano;A;99
Pantalón;Verano;B;16
Pantalón;Invierno;C;186
Falda;Primavera;A;28
Pantalón;Otoño;C;173
Blusa;Invierno;B;189
Pantalón;Primavera;C;70
Falda;Primavera;C;116
Falda;Verano;B;135
Chaqueta;Primavera;C;66
Blusa;Primavera;B;186
Pantalón;Invierno;A;41
Pantalón;Invierno;C;51
Blusa;Primavera;B;116
Camisa;Verano;B;171
Blusa;Verano;C;23
Camisa;Primavera;B;172
Chaqueta;Otoño;B;190
Chaqueta;Otoño;B;86
Pantalón;Otoño;C;20
Pantalón;Invierno;A;55
Falda;Otoño;A;63
Pantalón;Invierno;C;64
Chaqueta;Primavera;C;33
Pantalón;Otoño;A;188
Falda;Primavera;B;105
Blusa;Invierno;B;200
Chaqueta;Invierno;B;22
Blusa;Verano;C;150
Pantalón;Otoño;C;40
Pantalón;Primavera;C;157
Chaqueta;Primavera;A;129
Chaqueta;Primavera;A;128
Chaqueta;Invierno;C;170
Falda;Invierno;C;74
Pantalón;Primavera;B;30
Blusa;Otoño;C;77
Falda;Primavera;A;121
Chaqueta;Invierno;C;26
Blusa;Otoño;C;79
Chaqueta;Invierno;A;83
Chaqueta;Invierno;B;115
Chaqueta;Invierno;B;47
Camisa;Verano;A;13
Blusa;Otoño;A;192
Falda;Invierno;B;130
Pantalón;Otoño;C;166
Pantalón;Otoño;B;108
Camisa;Verano;C;38
Chaqueta;Primavera;B;145
Falda;Primavera;C;68
Blusa;Invierno;C;33
Chaqueta;Invierno;B;176
Blusa;Invierno;A;178
Blusa;Otoño;A;19
Camisa;Otoño;B;11
Blusa;Invierno;A;90
Camisa;Invierno;A;68
Pantalón;Otoño;B;14
Pantalón;Primavera;A;32
Camisa;Invierno;A;63
Pantalón;Verano;A;14
Falda;Invierno;B;30
Camisa;Verano;C;139
Chaqueta;Otoño;C;128
Chaqueta;Verano;B;176
Blusa;Primavera;C;177
Falda;Primavera;C;101
Blusa;Primavera;A;198
Blusa;Primavera;A;15
Camisa;Primavera;A;9
Falda;Primavera;B;169
Chaqueta;Invierno;A;81
Falda;Verano;B;104
Blusa;Primavera;C;167
Chaqueta;Primavera;C;53
Camisa;Primavera;B;148
Pantalón;Invierno;A;116
Chaqueta;Otoño;C;81
Pantalón;Verano;B;69
Chaqueta;Invierno;A;51
Chaqueta;Verano;A;29
Chaqueta;Otoño;B;75
Falda;Primavera;A;129
Falda;Invierno;A;21
Blusa;Otoño;C;143
Camisa;Otoño;C;113
Chaqueta;Primavera;B;39
Blusa;Verano;A;186
Camisa;Otoño;B;114
Camisa;Verano;A;74
Blusa;Invierno;A;101
Blusa;Primavera;A;53
Falda;Otoño;C;22
Pantalón;Otoño;B;193
Chaqueta;Otoño;B;106
Falda;Verano;C;174
Pantalón;Verano;C;154
Falda;Otoño;A;22
Blusa;Verano;A;11
Blusa;Primavera;A;99
Pantalón;Primavera;C;4
Chaqueta;Invierno;C;90
Pantalón;Otoño;C;49
Camisa;Otoño;C;22
Camisa;Verano;B;15
Blusa;Verano;C;145
Falda;Otoño;B;146
Falda;Verano;B;90
Blusa;Primavera;B;59
Falda;Invierno;A;38
Blusa;Primavera;B;150
Chaqueta;Invierno;A;7
Falda;Primavera;A;30
Camisa;Primavera;A;166
Pantalón;Primavera;C;2
Blusa;Primavera;A;159
Pantalón;Verano;C;186
Pantalón;Otoño;C;27
Pantalón;Primavera;B;52
Chaqueta;Primavera;A;78
Blusa;Verano;B;12
Falda;Verano;B;94
Camisa;Otoño;A;21
Pantalón;Primavera;C;90
Pantalón;Invierno;B;33
Falda;Primavera;C;140
Blusa;Invierno;C;131
Blusa;Invierno;A;199
Pantalón;Verano;B;191
Chaqueta;Primavera;B;168
Camisa;Primavera;C;104
Blusa;Otoño;A;3
Blusa;Primavera;A;172
Blusa;Invierno;A;56
Blusa;Otoño;B;56
Falda;Invierno;C;47
Blusa;Primavera;C;166
Chaqueta;Invierno;C;170
Falda;Invierno;A;199
Falda;Verano;A;151
Camisa;Invierno;A;87
Blusa;Verano;B;37
Pantalón;Primavera;B;23
Blusa;Verano;B;180
Falda;Otoño;A;85
Chaqueta;Primavera;B;127
Falda;Verano;B;161
Chaqueta;Primavera;C;39
Blusa;Invierno;A;77
Chaqueta;Otoño;C;29
Chaqueta;Invierno;C;92
Blusa;Otoño;B;5
Falda;Verano;C;123
Falda;Otoño;A;159
Chaqueta;Otoño;A;23
Chaqueta;Otoño;B;198
Falda;Primavera;B;126
Camisa;Primavera;A;161
Camisa;Invierno;C;183
Blusa;Invierno;A;164
Pantalón;Otoño;B;43
Blusa;Verano;C;158
Camisa;Otoño;C;29
Blusa;Otoño;B;20
Falda;Otoño;A;51
Camisa;Otoño;A;32
Falda;Invierno;B;77
Pantalón;Primavera;A;148
Falda;Primavera;A;31
Pantalón;Verano;B;181
Falda;Invierno;C;88
Falda;Primavera;A;75
Blusa;Otoño;C;163
Chaqueta;Invierno;C;72
Blusa;Verano;C;119
Chaqueta;Otoño;C;137
Falda;Primavera;C;52
Blusa;Verano;A;180
Pantalón;Verano;C;28
Camisa;Otoño;C;45
Blusa;Verano;C;81
Blusa;Verano;A;89
Falda;Otoño;B;142
Falda;Invierno;A;159
Pantalón;Primavera;A;64
Falda;Primavera;C;46
Blusa;Invierno;B;76
Camisa;Otoño;B;170
Blusa;Otoño;A;91
Chaqueta;Verano;A;147
Camisa;Verano;C;174
Chaqueta;Verano;B;51
Pantalón;Primavera;A;160
Blusa;Verano;C;97
Blusa;Otoño;C;139
Camisa;Otoño;B;130
Falda;Invierno;A;128
Camisa;Otoño;A;134
Camisa;Verano;B;193
Pantalón;Invierno;B;56
Falda;Verano;A;164
Chaqueta;Otoño;B;17
Chaqueta;Otoño;C;195
Blusa;Otoño;C;58
Camisa;Primavera;B;160
Pantalón;Invierno;B;78
Pantalón;Verano;C;187
Pantalón;Invierno;A;103
Pantalón;Otoño;B;95
Blusa;Otoño;A;121
Falda;Primavera;C;67
Chaqueta;Primavera;A;78
Chaqueta;Primavera;A;187
Falda;Invierno;A;76
Pantalón;Invierno;C;39
Chaqueta;Verano;C;159
Falda;Verano;C;8
Pantalón;Verano;C;41
Falda;Primavera;B;25
Pantalón;Primavera;B;161
Falda;Otoño;A;16
Camisa;Verano;A;44
Blusa;Primavera;B;109
Camisa;Invierno;C;177
Pantalón;Primavera;A;50
Falda;Primavera;A;39
Pantalón;Invierno;C;61
Blusa;Invierno;B;196
Falda;Primavera;C;50
Pantalón;Invierno;C;178
Falda;Otoño;B;6
Camisa;Verano;B;78
Pantalón;Otoño;A;193
Camisa;Verano;B;55
Pantalón;Primavera;C;196
Chaqueta;Invierno;C;90
Chaqueta;Verano;A;164
Camisa;Otoño;C;49
Pantalón;Primavera;C;109
Blusa;Verano;A;172
Blusa;Verano;A;177
Camisa;Verano;A;164
Blusa;Otoño;A;6
Camisa;Invierno;A;81
Camisa;Primavera;A;93
Pantalón;Otoño;B;114
Camisa;Invierno;C;152
Blusa;Invierno;C;185
Camisa;Primavera;B;65
Chaqueta;Invierno;B;62
Blusa;Verano;B;78
Blusa;Otoño;A;45
Camisa;Otoño;B;56
Camisa;Invierno;C;196
Camisa;Otoño;A;39
Blusa;Verano;B;96
Chaqueta;Primavera;A;191
Blusa;Invierno;B;198
Chaqueta;Primavera;A;103
Falda;Primavera;A;25
Blusa;Otoño;C;181
Falda;Otoño;C;24
Pantalón;Verano;B;40
Camisa;Verano;C;39
Pantalón;Invierno;B;85
Blusa;Verano;C;8
Camisa;Otoño;B;187
Chaqueta;Verano;C;179
Blusa;Invierno;C;199
Blusa;Verano;A;42
Pantalón;Primavera;C;5
Blusa;Verano;A;80
Falda;Invierno;B;68
Falda;Otoño;B;42
Camisa;Invierno;C;144
Camisa;Primavera;B;170
Chaqueta;Otoño;B;182
Chaqueta;Otoño;C;133
Chaqueta;Verano;A;110
Blusa;Otoño;B;92
Blusa;Primavera;B;194
Camisa;Verano;B;190
Falda;Verano;A;140
Blusa;Verano;A;25
Chaqueta;Invierno;A;200
Chaqueta;Primavera;C;112
Pantalón;Otoño;B;197
Falda;Primavera;C;31
Falda;Otoño;A;152
Falda;Verano;C;52
Pantalón;Otoño;B;30
Blusa;Primavera;A;75
Pantalón;Primavera;C;122
Falda;Otoño;C;60
Blusa;Primavera;C;46
Camisa;Otoño;B;74
Chaqueta;Invierno;B;187
Pantalón;Verano;C;59
Pantalón;Primavera;C;17
Chaqueta;Otoño;C;9
Blusa;Primavera;C;37
Pantalón;Primavera;C;142
Camisa;Invierno;B;62
Blusa;Otoño;B;102
Pantalón;Primavera;B;122
Blusa;Verano;A;133
Blusa;Otoño;B;61
Blusa;Otoño;B;157
Pantalón;Invierno;C;131
Chaqueta;Verano;A;146
Falda;Invierno;A;56
Pantalón;Verano;C;72
Chaqueta;Verano;C;108
Falda;Verano;B;53
Pantalón;Primavera;C;111
Blusa;Verano;A;56
Falda;Otoño;A;128
Camisa;Otoño;C;131
Camisa;Otoño;B;165
Pantalón;Invierno;B;200
Chaqueta;Primavera;B;16
Blusa;Primavera;B;155
Falda;Verano;B;109
Chaqueta;Otoño;A;149
Blusa;Invierno;C;121
Falda;Primavera;B;185
Chaqueta;Verano;B;131
Camisa;Otoño;A;23
Chaqueta;Invierno;C;52
Camisa;Primavera;C;51
Pantalón;Verano;A;108
Pantalón;Verano;C;50
Falda;Otoño;A;83
Camisa;Invierno;C;124
Camisa;Otoño;B;52
Blusa;Invierno;C;146
Falda;Otoño;C;180
Camisa;Invierno;C;103
Pantalón;Otoño;B;167
Camisa;Invierno;C;77
Falda;Verano;A;62
Blusa;Otoño;A;151
Pantalón;Primavera;B;26
Chaqueta;Verano;C;42
Blusa;Otoño;A;119
Falda;Primavera;B;82
Chaqueta;Otoño;A;46
Falda;Invierno;C;200
Camisa;Primavera;C;17
Blusa;Otoño;A;143
Falda;Primavera;C;152
Blusa;Invierno;C;138
Camisa;Verano;A;75
Chaqueta;Primavera;A;55
Pantalón;Invierno;B;141
Falda;Invierno;B;17
Blusa;Verano;A;124
Blusa;Otoño;B;16
Falda;Verano;A;49
Pantalón;Otoño;C;193
Camisa;Otoño;A;2
Chaqueta;Verano;A;137
Pantalón;Otoño;A;145
Camisa;Otoño;B;81
Chaqueta;Invierno;A;30
Blusa;Primavera;A;38
Chaqueta;Primavera;A;44
Camisa;Invierno;A;89
Pantalón;Otoño;C;149
Chaqueta;Verano;B;20
Pantalón;Otoño;B;177
Chaqueta;Invierno;A;124
Pantalón;Invierno;B;78
Falda;Otoño;B;126
Blusa;Primavera;A;106
Pantalón;Primavera;C;55
Blusa;Otoño;C;70
Chaqueta;Otoño;C;69
Blusa;Primavera;A;2
Chaqueta;Verano;B;163
Pantalón;Otoño;A;27
Falda;Otoño;A;65
Pantalón;Primavera;A;101
Pantalón;Invierno;C;198
Camisa;Verano;A;8
Pantalón;Invierno;C;99
Pantalón;Primavera;C;9
Chaqueta;Verano;C;31
Chaqueta;Verano;B;132
Camisa;Otoño;A;175
Blusa;Verano;A;110
Falda;Verano;A;109
Falda;Primavera;A;69
Camisa;Verano;B;50
Chaqueta;Otoño;A;20
Chaqueta;Primavera;C;161
Falda;Primavera;C;123
Falda;Verano;C;55
Falda;Verano;B;163
Chaqueta;Verano;A;161
Camisa;Verano;C;117
Falda;Otoño;A;24
Camisa;Verano;C;74
Blusa;Invierno;A;62
Chaqueta;Verano;A;33
Falda;Otoño;A;12
Pantalón;Invierno;A;102
Camisa;Invierno;B;73
Blusa;Verano;A;55
Blusa;Primavera;B;123
Camisa;Invierno;C;25
Falda;Otoño;C;77
Falda;Verano;A;56
Pantalón;Primavera;B;58
Falda;Otoño;B;67
Blusa;Otoño;A;14
Chaqueta;Otoño;C;51
Chaqueta;Invierno;C;120
Chaqueta;Otoño;A;118
Camisa;Primavera;C;87
Pantalón;Otoño;A;121
Chaqueta;Verano;B;86
Camisa;Invierno;A;145
Blusa;Primavera;A;53
Blusa;Otoño;B;128
Chaqueta;Otoño;B;79
Falda;Otoño;B;64
Camisa;Invierno;B;42
Camisa;Primavera;A;185
Blusa;Otoño;B;60
Falda;Otoño;B;168
Camisa;Primavera;A;108
Chaqueta;Invierno;A;41
Blusa;Primavera;C;125
Pantalón;Invierno;A;35
Camisa;Primavera;B;197
Blusa;Invierno;C;101
Pantalón;Primavera;C;186
Falda;Primavera;B;41
Pantalón;Invierno;B;40
Blusa;Invierno;B;172
Camisa;Primavera;B;147
Falda;Otoño;C;130
Blusa;Primavera;B;47
Camisa;Verano;B;17
Falda;Otoño;B;112
Pantalón;Primavera;C;76
Chaqueta;Otoño;B;39
Falda;Primavera;C;176
Falda;Invierno;A;60
Pantalón;Primavera;A;95
Pantalón;Primavera;B;19
Chaqueta;Primavera;A;128
Blusa;Verano;C;199
Blusa;Primavera;C;141
Falda;Verano;C;164
Pantalón;Otoño;A;76
Blusa;Otoño;C;23
Falda;Primavera;C;48
Falda;Primavera;B;2
Blusa;Invierno;B;130
Falda;Invierno;C;178
Pantalón;Otoño;B;59
Pantalón;Verano;A;179
Pantalón;Verano;B;94
Camisa;Primavera;B;31
Falda;Primavera;B;86
Blusa;Otoño;B;90
Chaqueta;Otoño;A;96
Chaqueta;Verano;B;26
Camisa;Verano;A;173
Pantalón;Otoño;A;161
Pantalón;Primavera;A;5
Blusa;Invierno;A;88
Falda;Verano;B;200
Blusa;Verano;B;111
Pantalón;Invierno;B;73
Falda;Otoño;A;172
Chaqueta;Verano;B;74
Camisa;Otoño;C;147
Pantalón;Otoño;B;94
Blusa;Otoño;C;166
Blusa;Otoño;A;26
Camisa;Otoño;B;141
Pantalón;Otoño;C;40
Camisa;Otoño;B;102
Chaqueta;Primavera;A;52
Blusa;Invierno;B;116
Blusa;Otoño;C;197
Camisa;Invierno;A;87
Pantalón;Otoño;C;136
Falda;Primavera;C;22
Chaqueta;Invierno;A;58
Camisa;Invierno;C;93
Pantalón;Invierno;C;65
Falda;Otoño;B;138
Pantalón;Otoño;B;63
Chaqueta;Otoño;C;29
Chaqueta;Verano;A;51
Camisa;Invierno;A;124
Falda;Primavera;B;133
Blusa;Primavera;C;143
Camisa;Verano;C;4
Falda;Otoño;A;97
Falda;Primavera;B;135
Blusa;Otoño;B;25
Camisa;Primavera;B;97
Chaqueta;Verano;B;68
Chaqueta;Primavera;A;25
Pantalón;Otoño;A;196
Camisa;Invierno;B;79
Chaqueta;Invierno;C;191
Falda;Otoño;C;133
Falda;Otoño;A;140
Camisa;Verano;C;70
Blusa;Primavera;A;82
Chaqueta;Otoño;A;27
Chaqueta;Primavera;B;122
Camisa;Otoño;C;123
Pantalón;Invierno;B;36
Falda;Otoño;A;14
Blusa;Invierno;A;34
Camisa;Verano;A;135
Pantalón;Invierno;B;142
Camisa;Primavera;B;41
Blusa;Invierno;A;53
Falda;Verano;B;154
Chaqueta;Verano;B;181
Pantalón;Otoño;A;173
Pantalón;Invierno;C;156
Blusa;Primavera;A;70
Chaqueta;Otoño;B;34
